date,camera,day_of_week,month,weekend,avg_people,max_people,min_people,avg_capacity,peak_hour,total_records,next_day_avg_people,next_day_peak_people
2026-03-21,cam1,5,3,1,1.7455795677799608,4,0,16.45088408644401,16,1018,3.1944444444444446,4.0
2026-03-22,cam1,6,3,1,3.1944444444444446,4,2,7.7407407407407405,4,216,1.4104627766599598,4.0
2026-03-23,cam1,0,3,0,1.4104627766599598,4,0,52.19315895372233,16,497,2.2109654350417163,4.0
2026-03-24,cam1,1,3,0,2.2109654350417163,4,1,2.4386174016686533,4,839,0.9509521061742643,2.0
2026-04-01,cam1,2,4,0,0.9509521061742643,2,0,0.8528563185227929,12,1733,0.9879154078549849,2.0
2026-04-04,cam1,5,4,1,0.9879154078549849,2,0,3.2416918429003023,10,331,1.904433497536946,5.0
2026-04-08,cam1,2,4,0,1.904433497536946,5,0,2.4886699507389163,7,1015,0.967479674796748,2.0
2026-05-06,cam1,2,5,0,0.967479674796748,2,0,1.048780487804878,11,123,2.083116883116883,4.0
2026-05-17,cam1,6,5,1,2.083116883116883,4,0,1.4805194805194806,3,385,1.0,1.0
2026-06-12,cam1,4,6,0,1.0,1,1,1.0,3,453,0.7213316892725031,2.0
2026-06-13,cam1,5,6,1,0.7213316892725031,2,0,17.77435265104809,3,811,0.8461538461538461,1.0
2026-06-18,cam1,3,6,0,0.8461538461538461,1,0,1.0256410256410255,8,39,1.011317000373088,2.0
2026-07-18,cam1,5,7,1,1.011317000373088,2,0,1.008083571695063,4,8041,1.2721354166666667,3.0
2026-08-02,cam1,6,8,1,1.2721354166666667,3,0,1.2213541666666667,5,2304,1.0494485948061187,3.0
2026-08-05,cam1,2,8,0,1.0494485948061187,3,0,1.0632040792126172,4,8433,1.5278571428571428,14.0
2026-03-21,cam2,5,3,1,0.8050847457627118,2,0,1.771186440677966,16,236,1.158139534883721,2.0
2026-03-22,cam2,6,3,1,1.158139534883721,2,0,1.2,4,215,0.24022346368715083,1.0
2026-03-23,cam2,0,3,0,0.24022346368715083,1,0,58.435754189944134,16,179,0.983739837398374,3.0
2026-03-24,cam2,1,3,0,0.983739837398374,3,0,1.0386178861788617,4,492,0.2782608695652174,1.0
2026-04-04,cam2,5,4,1,0.2782608695652174,1,0,4.6173913043478265,10,115,0.023809523809523808,1.0
2026-08-05,cam2,2,8,0,0.023809523809523808,1,0,1.0,13,168,0.3526405451448041,2.0
